"Id","providerId","providerName","nameZh","nameEn","pathAttributeId","pathAttributeName","pathAttributeEname","buildPeriod","departureZh","departureEn","destinationZh","destinationEn","realSequence","distance","goFirstBusTime","backFirstBusTime","goLastBusTime","backLastBusTime","peakHeadway","holidayHeadwayDesc","offPeakHeadway","busTimeDesc","holidayGoFirstBusTime","holidayBackFirstBusTime","holidayGoLastBusTime","holidayBackLastBusTime","holidayBusTimeDesc","headwayDesc","holidayPeakHeadway","holidayOffPeakHeadway","segmentBufferZh","segmentBufferEn","ticketPriceDescriptionZh","ticketPriceDescriptionEn"
"16574","16185","指南客運","892","892","157846","892石門(新北市)","892","10","臺北","Taipei","石門","Shimen","99","99","1500","1500","1500","1500","","","","","","","","","例假日停駛","","","","葫東重慶路口、大度立德路口-捷運竹圍站、捷運淡水站-北淡水、興化店-灰瑤子、三芝","Hudong & Chongqing Intersection, Lide Intersection -MRT Zhuwei Station, MRT Tamsui Station-Tamsui Xincheng, Xinghuadian-Huiyaozi,Sanzhi","六段票","6 segments"
"16576","16185","指南客運","799","799","157618","799(新北市)","799","10","樹林","Forest","臺北(經大安路)","Taipei (by Daan Road)","99","99","0520","0520","1555","1515","","","","","0520","","1555","","","","","","大唐江山-五谷王廟","Datang Jiangshan-Wuguwang Temple","二段票","Charge for 2 sections"
"16582","16179","三重客運","橘25","O25","157626","橘25(新北市)","O25","10","蘆洲","Luchou","捷運三重國小站","The MRT triple States station","99","99","0600","0600","2300","2300","","","","","0600","0600","2300","2300","","","","","","","一段票","1 segments"
"16635","16176","臺北客運","939","939","157696","939(新北市)","939","10","三峽","Three Gorges","臺北市政府","Taipei City Government","99","99","0600","0600","2100","2100","0512","","1530","","0600","0600","2100","2100","","","1530","1530","三鶯交流道、安坑交流道","AnKeng JCT-Shulin Tollgate Station","三段票","3 segments"
"16759","16176","臺北客運","943","943","158943","943(新北市)返","943","10","三峽","Sanxia","臺北大學(臺北校區)","Nat’l Taipei U. (Taipei Campus)","99","99","1620","0715","1735","0810","","","","","","","","","例假日停駛","臺北大學寒暑假期間週一至週五僅行駛07:15(臺北往三峽)及16:20(三峽往臺北)；清明連假停駛","","","三鶯交流道，安坑交流道","Shulin Tollgate Station- AnKeng JCT","三段票","3 segments"
"16759","16176","臺北客運","943","943","157876","943(新北市)去","943","10","三峽","Sanxia","臺北大學(臺北校區)","Nat’l Taipei U. (Taipei Campus)","99","99","1620","0715","1735","0810","","","","","","","","","例假日停駛","臺北大學寒暑假期間週一至週五僅行駛07:15(臺北往三峽)及16:20(三峽往臺北)；清明連假停駛","","","三鶯交流道，安坑交流道","Shulin Tollgate Station- AnKeng JCT","三段票","3 segments"
"17311","16190","基隆客運","藍41延和","BL41 Yanhan","158451","藍41延和(新北市)","BL41 Yanhan","10","捷運海山站","MRT seamount Station","雙和醫院","Shuang Ho Hospital","99","99","0600","0600","2230","2230","","雙和發車07:25 08:15 09:05 09:55 10:45 11:35 12:25 13:15 14:05 14:55 15:45 16:35 17:25 18:15 19:05 20:05 21:15 22:25","","","0650","0650","2225","2225","","雙和發車06:35 07:05 07:35 08:05 08:35 09:35 10:35 11:35 12:35 13:35 14:35 15:35 16:35 17:05 17:35 18:05 18:35 19:05 19:35 20:35 21:35 22:30","","","","","一段票",""
"16651","16186","淡水客運","864","864","157715","864(新北市)","864","10","三芝","Sanzhi","捷運劍潭站","MRT Jiantan Station","99","99","0630","0800","1730","1900","","劍潭端發車 : 08:00 14:30 19:00 ","","","0630","0800","1730","1900","","劍潭端發車 : 08:00 14:30 19:00 ","","","灰瑤子-興化店，福德宮-捷運淡水站，捷運竹圍站-關渡國小","Huiyaozi-Xinghuadian , Fude Temple-MRT Tamsui Station, MRT Zhuwei Station-Guandu Elementary School","四段票","4 segments"
"16564","16186","淡水客運","876","876","158931","876三芝(新北市)","876","10","捷運淡水站","MRT Tamsui Station","三芝","Sanzhi","99","99","0600","0640","1715","1755","","","","","0600","0640","1715","1755","","","","","大溪橋-北新莊","Daxi Bridge-Beixinzhuang ","二段票","Charge for 2 sections"
"16564","16186","淡水客運","876","876","157600","876捷運淡水站(新北市)","876","10","捷運淡水站","MRT Tamsui Station","三芝","Sanzhi","99","99","0600","0640","1715","1755","","","","","0600","0640","1715","1755","","","","","大溪橋-北新莊","Daxi Bridge-Beixinzhuang ","二段票","Charge for 2 sections"
"16731","16188","新北客運","817","817","157836","817(新北市)","817","10","汐止","Hsichih","五分埔","Wufenpu","99","99","0520","0520","2240","2240","1215","21:30後35分乙車次","2030","","0520","0520","2240","2240","","22:10後30分乙車次","2030","2030","北峰里-中興路","Beifeng Village-Zhongxing Rd.","二段票","Charge for 2 sections"
"16735","16190","基隆客運","藍41","BL41","157840","藍41(新北市)","BL41","10","捷運海山站","MRT seamount Station","雙和醫院","Shuang Ho Hospital","99","99","0545","0545","2300","2300","1015","雙和0635 0745 0820 0930 1005 1115 1150 1300 1335 1445 1520 1630 1705 1815 1850 2000 2035 2145 2220 2330","1540","","0600","0600","2300","2300","","雙和0620 0650 0720 0750 0820 0850 0905 0920 0950 1005 1020 1050 1105 1120 1150 1205 1220 1250 1305 1320 1350 1405 1420 1450 1505 1520 1550 1605 1620 1650 1715 1725 1750 1820 1850 1920 1955 2015 2055","1540","1540","","","一段票","1 segments"
"16739","16190","基隆客運","789","789","158920","789返(新北市)","789","10","國家新城","Countries Metro","崁腳","Kanjiao","99","99","0512","0610","1855","2010","","","","","0512","0610","1855","2010","","","","","武嶺街-基隆市界，北基新城","Wuling St.-Keelung City Line, Beiji Xincheng","三段票","3 segments"
"16739","16190","基隆客運","789","789","157844","789去(新北市)","789","10","國家新城","Countries Metro","崁腳","Kanjiao","99","99","0512","0610","1855","2010","","","","","0512","0610","1855","2010","","","","","武嶺街-基隆市界，北基新城","Wuling St.-Keelung City Line, Beiji Xincheng","三段票","3 segments"
"16748","16182","大都會客運","橘18福隆路","O18fu","157858","橘18福隆路(新北市)","O18fu","10","蘆洲","Luchou","五華街","Wuhua St.","99","99","0600","0600","2000","2000","1520","","2030","","0600","0600","2000","2000","","","","","","","一段票","1 segments"
"10162","16176","臺北客運","245","245","10162","245(新北市)","245","10","德霖技術學院","De Lin Institute of Technology","捷運臺大醫院站","Taipei City Government","99","99","0520","0520","2240","2240","1015","20:00以後20分一班次","1520","","0530","0530","2240","2240","","21:00以後20分一班次","1520","1520","","","一段票","1 segments"
"16777","16228","淡水區公所","F103","F103","157904","F103(新北市)","F103","10","捷運淡水站","MRT Tamsui Station","華南銀行","HuaNan Commercial Bank","99","99","0530","0530","2140","2140","","經山仔頂 06:00 07:5010:3012:00 15:50 16:40 17：30 經瓦窯坑 05：30 07：50 10：30 12：00 18：10 經千光寺、經腳後崙 08:50 12:00","","","0530","","2140","","","經山仔頂 06:00 07:5010:3012:00 15:50 16:40 17：30 經瓦窯坑 05：30 07：50 10：30 12：00 18：10 經千光寺、經腳後崙 08:50 12:00","","","","","",""
"16790","16229","三芝區公所","F139行經台2線","F139","158961","F139行經台2線(新北市)返","F139","10","三芝國中","Sanzhi Junior High School","捷運淡水站","MRT Tamsui Station","99","99","2250","2250","2250","2250","","","","","","","","","週日停駛","捷運淡水站發車 2330","","","","","",""
"16790","16229","三芝區公所","F139行經台2線","F139","157917","F139行經台2線(新北市)去","F139","10","三芝國中","Sanzhi Junior High School","捷運淡水站","MRT Tamsui Station","99","99","2250","2250","2250","2250","","","","","","","","","週日停駛","捷運淡水站發車 2330","","","","","",""
